OrderID,CustomerID,ProductID,OrderDate,Quantity,UnitPrice,StoreCode
14460,112,1965,2024-10-21,1,830.09,CHE001
19345,2039,560,2024-09-05,10,13628.82,DEL001
22634,1318,9,,8,42717.06,
5159,-999,193,2025-07-22,8,2312.36,CHE001
17569,1914,237,2025-09-30,20,13292.01,HYD001
797,809,2096,2025-02-20,12,30089.25,KOL001
11785,2934,716,2026-03-23,1,22047.82,HYD001
4053,59,1194,2025-10-24,10,8311.66,BLR001
11636,3201,1974,2026-01-06,3,16139.9,HYD001
8000,2099,1559,2026-02-23,18,43910.51,DEL001
5151,2773,324,2025-10-05,16,18107.67,KOL001
2701,1314,1195,2024-12-04,11,26139.8,TPT001
14879,54,1444,2025-10-07,16,15189.32,PUN001
16672,2787,1232,2024-11-03,1,12406.33,BLR001
688,196,732,2026-04-19,8,XYZ,HYD001
20629,,1386,2024-09-01,14,,BLR001
2437,-999,156,2025-12-27,999999,47552.32,BLR001
545,1494,1798,2025-01-14,13,11144.82,MUM001
6445,2874,1213,2025-04-30,1,11966.35,HYD001
1014,2047,57,2026-06-16,10,37873.67,BLR001
13859,993,664,2025-04-09,3,1961.23,VSK001
20944,2002,2048,2024-07-18,,34554.58,HYD001
7905,553,60,2025-06-23,5,12654.28,PUN001
7057,2539,1039,2025-07-10,4,25558.51,HYD001
21912,1058,1005,,,22990.6,DEL001
21886,2635,,2025-06-27,5,31575.33,CHE001
9066,1560,1591,2026-01-18,10,37959.92,TPT001
21755,1234,599,2026-01-06,,4892.08,TPT001
18734,1522,1611,2024-12-27,9,13193.89,BLR001
8834,2276,1829,2026-02-16,14,40663.5,PUN001
23178,1422,317,,11,,PUN001
9327,1235,1217,2026-02-26,15,38879.49,BLR001
3231,1053,100,2024-07-31,14,10030.01,CHE001
17756,209,101,2024-09-04,13,4461.44,CHE001
4652,1902,895,2026-04-16,20,20920.29,KOL001
16855,867,822,2026-01-04,4,48082.13,HYD001
10832,3058,814,2025-07-07,5,20582.58,BLR001
22471,,1673,2025-11-12,10,,DEL001
13951,93,380,2025-09-16,11,49251.51,DEL001
18413,6,222,2026-02-01,12,1815.57,CHE001
14363,1441,428,2024-10-21,17,27586.59,PUN001
16273,1800,327,2025-04-18,8,47164.58,MUM001
16651,3522,1073,2025-07-12,10,24253.86,VSK001
17046,743,1915,2025-03-30,9,21785.47,PUN001
7831,2528,598,2026-01-04,13,41314.78,KOL001
5302,1870,302,2025-07-06,10,48313.1,KOL001
10166,3198,1427,2024-07-05,20,36062.42,KOL001
14588,2843,113,2025-04-10,13,28931.18,MUM001
1370,1365,1694,2025-04-17,7,40372.1,PUN001
9712,60,226,2025-04-08,20,4952.45,PUN001
15401,477,700,2025-06-28,20,44842.75,HYD001
491,454,PROD001,2026-06-22,19,3059.45,INVALID_STORE
21518,,,2026-04-10,20,1276.56,VSK001
8549,1282,90,2024-11-23,12,31211.84,TPT001
9500,1410,1186,2026-05-10,6,31166.57,HYD001
13963,2388,1609,2025-04-21,16,27616.12,KOL001
7466,2278,637,2026-03-28,19,37119.0,HYD001
20054,252,606,2024-07-19,9,49932.97,TPT001
7830,2365,1703,2025-10-11,17,7915.05,HYD001
15332,874,1616,2025-12-05,9,23899.04,MUM001
14643,1974,1266,2024-11-05,2,42582.13,BLR001
7061,1141,489,2025-01-26,5,3021.15,TPT001
863,2980,1183,2024-10-23,7,49310.81,BLR001
15063,3423,1505,2026-06-11,20,16618.08,BLR001
18489,1918,1007,2026-01-24,1,22556.78,HYD001
5518,96,1542,2026-02-01,10,13001.23,BLR001
8092,1956,38,2025-11-12,8,25306.98,CHE001
19271,3607,1812,2025-01-18,20,32723.11,BLR001
554,2458,1241,2025-03-30,20,13831.31,VSK001
16404,3501,591,2026-03-09,9,2365.23,BLR001
848,1114,1144,2024-09-19,13,5487.4,HYD001
13526,590,970,2025-06-12,7,45775.93,DEL001
22035,120,,2025-11-10,1,23751.52,
13296,3008,15,2026-01-17,2,40852.29,PUN001
12139,2591,15,2025-09-22,6,18643.54,VSK001
12093,1935,390,2025-12-10,14,22504.37,TPT001
12929,2182,1829,2024-08-14,19,35586.97,DEL001
21567,,1193,2025-10-22,,23108.52,TPT001
19263,1695,1905,2025-08-26,14,10243.13,DEL001
19788,2396,1967,2025-05-01,20,13994.94,TPT001
20723,1205,118,2025-06-19,17,4017.43,
9306,1916,1412,2026-03-24,11,45441.19,MUM001
22096,3180,990,2026-05-17,10,,PUN001
6975,2668,2033,2025-03-31,16,49917.48,BLR001
13207,1470,355,2025-01-04,13,47920.56,TPT001
15108,2645,155,2025-05-19,15,42663.29,BLR001
12815,65,19,2025-11-24,8,27173.72,DEL001
20209,2343,1655,2025-01-08,7,,CHE001
18569,1175,1561,2026-06-15,10,28404.08,PUN001
14589,1482,45,2024-07-29,1,44535.07,TPT001
15956,1136,112,2024-10-14,6,22323.92,TPT001
17165,2311,1857,2024-10-12,7,12016.71,BLR001
12850,431,437,2024-09-17,5,345.56,MUM001
11415,2945,770,2024-09-14,17,39157.21,CHE001
19274,1256,1186,2024-09-30,4,47645.28,DEL001
9043,937,1010,2025-04-21,3,12677.02,HYD001
ORD-ABC,1834,32,2025-07-11,12,21754.63,INVALID_STORE
INVALID,2763,1450,2026-02-01,15,46017.21,CHE001
12410,657,1826,2025-11-29,17,43198.45,MUM001
18204,2076,1551,2024-08-19,19,34232.42,HYD001
1851,47,113,2025-02-07,4,11518.26,MUM001
6204,870,900,2025-02-17,2,46236.93,DEL001
11890,783,392,2024-09-26,7,44168.45,CHE001
18007,2173,1927,2025-11-01,14,10501.84,PUN001
15557,2358,1297,2025-06-23,19,14931.77,BLR001
4743,2967,1958,2025-10-03,15,27739.81,VSK001
11566,2700,571,2024-10-21,13,5858.22,HYD001
21465,1724,,2025-07-25,13,7904.03,MUM001
INVALID,1019,1768,2025-09-01,13,20888.57,PUN001
8737,135,296,2025-05-30,18,25155.37,BLR001
14063,2097,1545,2026-04-14,10,46310.13,HYD001
1608,2993,1619,2025-06-14,20,28733.44,CHE001
8427,87,1681,2026-01-21,9,5221.27,CHE001
2041,2958,1254,2025-10-07,5,6619.01,VSK001
11780,2145,954,2024-07-28,6,30776.1,BLR001
10474,2889,1929,2026-06-09,10,16000.87,MUM001
2388,2705,1732,0000-00-00,20,PRICE,HYD001
16166,3601,347,2025-02-25,19,43772.78,BLR001
4917,1635,739,2026-06-05,14,2961.88,TPT001
1353,84,1215,2025-01-22,6,40726.47,BLR001
8650,2912,645,2025-10-16,18,45639.73,VSK001
12492,2131,524,2025-12-19,4,35052.46,TPT001
16675,441,70,2024-12-19,17,40855.48,BLR001
15641,3283,1064,2025-05-13,11,32067.07,PUN001
13964,3324,2071,2024-10-31,3,18558.05,VSK001
15729,1411,38,2024-07-18,17,1067.16,BLR001
20844,663,,,18,44558.84,HYD001
15717,2117,486,2025-11-25,16,10329.98,TPT001
611,2734,1662,2026-05-27,ABC,42130.37,BLR001
13783,740,10,2026-06-22,13,37692.08,DEL001
6617,216,1275,2024-11-30,4,37029.22,BLR001
12931,115,29,2025-03-18,17,26431.93,PUN001
11121,949,1745,2025-03-21,20,41680.76,KOL001
7784,3428,1078,2024-08-25,3,7921.82,KOL001
1238,1793,1194,2025-09-17,13,34373.48,KOL001
853,890,416,2025-01-24,11,20266.41,@@@@
8978,2413,676,2024-11-17,17,7342.07,PUN001
13893,1550,1994,2025-06-26,18,1762.12,TPT001
10080,2532,1594,2025-08-05,10,27675.8,CHE001
8444,739,1913,2025-11-24,3,30582.84,HYD001
