ProductID,ProductName,Category,SubCategory,Brand,CostPrice
89,Zara Women Model-89,Fashion,Women,Zara,33658.31
691,Hopscotch Kids Model-691,Fashion,Kids,Hopscotch,40951.02
147,Quechua Outdoor Model-147,Sports,Outdoor,Quechua,3655.21
1236,Hopscotch Kids Model-1236,Fashion,Kids,Hopscotch,39602.64
1763,Sony Accessories,###,Accessories,Sony,-500
1853,Godrej Furniture Model-1853,Home,Furniture,Godrej,4737.2
1373,Carter Kids Model-1373,Fashion,Kids,Carter,19448.82
2204,Dell Laptops,Electronics,Laptops,,
1726,Boat Accessories Model-1726,Electronics,Accessories,Boat,18336.28
1795,Apple Smartphones Model-1795,Electronics,Smartphones,Apple,41439.09
599,Cosco Indoor Model-599,Sports,Indoor,Cosco,1534.82
1389,Yonex Indoor Model-1389,Sports,Indoor,Yonex,502.79
859,Yonex Indoor Model-859,Sports,Indoor,Yonex,18237.68
468,Duroflex Decor Model-468,Home,Decor,Duroflex,28792.35
106,Wildcraft Outdoor Model-106,Sports,Outdoor,Wildcraft,38908.86
990,Apple Smartphones Model-990,Electronics,Smartphones,Apple,24855.86
2108,Yonex Indoor,,Indoor,,27687.31
INVALID,Quechua Outdoor,Sports,Outdoor,###,33588.59
2100,Hopscotch Kids Model-2100,Fashion,Kids,Hopscotch,7202.71
1988,Levis Women Model-1988,Fashion,Women,Levis,3531.72
1945,Samsung Smartphones Model-1945,Electronics,Smartphones,Samsung,16849.8
208,Nike Men Model-208,Fashion,Men,Nike,9795.2
1378,Apple Smartphones Model-1378,Electronics,Smartphones,Apple,15531.77
1057,Pigeon Kitchen Model-1057,Home,Kitchen,Pigeon,30814.39
966,Reebok Fitness Model-966,Sports,Fitness,Reebok,40431.36
1875,Lenovo Laptops Model-1875,Electronics,Laptops,Lenovo,44424.36
1417,OnePlus Smartphones Model-1417,Electronics,Smartphones,OnePlus,17605.84
171,Dell Laptops Model-171,Electronics,Laptops,Dell,21037.27
2113,H&M Women,Fashion,Women,H&M,
2045,Nike Men Model-2045,Fashion,Men,Nike,38006.26
2231,,Fashion,,Puma,40859.91
619,HP Laptops Model-619,Electronics,Laptops,HP,43407.91
83,Logitech Accessories Model-83,Electronics,Accessories,Logitech,46093.91
791,H&M Women Model-791,Fashion,Women,H&M,44249.37
2233,Samsung Smartphones,Electronics,Smartphones,,9017.91
1993,Ikea Furniture Model-1993,Home,Furniture,Ikea,45142.93
2129,12345,Sports,Outdoor,Wildcraft,-500
1329,Quechua Outdoor Model-1329,Sports,Outdoor,Quechua,34215.84
1107,H&M Women Model-1107,Fashion,Women,H&M,19202.3
49,Wildcraft Outdoor Model-49,Sports,Outdoor,Wildcraft,22204.62
2093,Prestige Kitchen Model-2093,Home,Kitchen,Prestige,31778.47
1290,Godrej Furniture Model-1290,Home,Furniture,Godrej,34306.37
1141,HP Laptops Model-1141,Electronics,Laptops,HP,47562.43
1095,Samsung Smartphones Model-1095,Electronics,Smartphones,Samsung,22904.88
1402,Zara Women Model-1402,Fashion,Women,Zara,17813.84
899,Logitech Accessories Model-899,Electronics,Accessories,Logitech,37766.9
191,Carter Kids Model-191,Fashion,Kids,Carter,27188.25
1469,Pigeon Kitchen Model-1469,Home,Kitchen,Pigeon,282.24
1900,Puma Men Model-1900,Fashion,Men,Puma,19616.08
1803,Yonex Indoor Model-1803,Sports,Indoor,Yonex,26294.67
2041,Adidas Men Model-2041,Fashion,Men,Adidas,47281.48
1696,Reebok Fitness Model-1696,Sports,Fitness,Reebok,47998.26
426,Reebok Fitness Model-426,Sports,Fitness,Reebok,7380.27
894,Prestige Kitchen Model-894,Home,Kitchen,Prestige,19417.33
443,Reebok Fitness Model-443,Sports,Fitness,Reebok,16035.32
1541,HomeCentre Decor Model-1541,Home,Decor,HomeCentre,13546.28
1029,HomeCentre Decor Model-1029,Home,Decor,HomeCentre,46138.73
1325,OnePlus Smartphones Model-1325,Electronics,Smartphones,OnePlus,30079.04
63,Wildcraft Outdoor Model-63,Sports,Outdoor,Wildcraft,24894.12
682,Cosco Indoor Model-682,Sports,Indoor,Cosco,30117.83
1384,Ikea Furniture Model-1384,Home,Furniture,Ikea,45622.68
314,Yonex Indoor Model-314,Sports,Indoor,Yonex,8247.22
888,Hopscotch Kids,Fashion,Kids,Hopscotch,-500
246,Apple Smartphones Model-246,Electronics,Smartphones,Apple,23217.15
520,Wildcraft Outdoor Model-520,Sports,Outdoor,Wildcraft,16912.04
422,Apple Smartphones Model-422,Electronics,Smartphones,Apple,37243.03
703,Sony Accessories Model-703,Electronics,Accessories,Sony,36894.52
ABC123,Duroflex Decor,Home,999,Duroflex,31215.21
2306,Nike Fitness,,Fitness,,31440.54
596,Hopscotch Kids Model-596,Fashion,Kids,Hopscotch,14612.17
1813,Nike Men,Fashion,Men,Nike,FREE
1128,Cosco Indoor Model-1128,Sports,Indoor,Cosco,32384.6
1847,HomeCentre Decor Model-1847,Home,Decor,HomeCentre,47225.84
3419,Ikea Furniture,UNKNOWN_CATEGORY,Furniture,###,49176.92
1595,Samsung Smartphones Model-1595,Electronics,Smartphones,Samsung,39500.22
26,Levis Women Model-26,Fashion,Women,Levis,7873.31
268,Yonex Indoor Model-268,Sports,Indoor,Yonex,3710.21
3,Cosco Indoor Model-3,Sports,Indoor,Cosco,34528.28
848,Adidas Men Model-848,Fashion,Men,Adidas,31273.41
755,Sony Accessories Model-755,Electronics,Accessories,Sony,39281.89
410,Reebok Fitness Model-410,Sports,Fitness,Reebok,41654.57
2648,Reebok Fitness,123,Fitness,Reebok,-500
1269,Wildcraft Outdoor Model-1269,Sports,Outdoor,Wildcraft,11035.08
1350,Pigeon Kitchen Model-1350,Home,Kitchen,Pigeon,11198.26
1812,Godrej Furniture Model-1812,Home,Furniture,Godrej,22546.51
723,Yonex Indoor Model-723,Sports,Indoor,Yonex,15575.82
1058,Lenovo Laptops Model-1058,Electronics,Laptops,Lenovo,37901.42
1825,Quechua Outdoor Model-1825,Sports,Outdoor,Quechua,28103.75
1605,Carter Kids Model-1605,Fashion,Kids,Carter,10611.97
314,Nike Men,Fashion,999,###,12948.26
1299,Pigeon Kitchen Model-1299,Home,Kitchen,Pigeon,26200.08
727,OnePlus Smartphones Model-727,Electronics,Smartphones,OnePlus,4711.95
404,Duroflex Decor Model-404,Home,Decor,Duroflex,13039.33
306,Logitech Accessories Model-306,Electronics,Accessories,Logitech,9562.76
799,Sony Accessories Model-799,Electronics,Accessories,Sony,21510.76
2069,Puma Men Model-2069,Fashion,Men,Puma,47692.62
298,Dell Laptops Model-298,Electronics,Laptops,Dell,19181.75
